scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
frequent_break,full_heuristic,delivery_ratio,50,1,50,0.23062500000000002,0.06087601009792098,0.0,0.21416406250000003,0.2471875,0.00853833838296135,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,drop_rate,50,1,50,0.32822916666666674,0.07647774445898632,0.0,0.30718489583333336,0.3496901041666666,0.010917461516727938,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,throughput_packets_per_slot,50,1,50,1.4760000000000002,0.38960646462669424,0.0,1.3693166666666667,1.584683333333333,0.05471511078411989,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,average_delay_slots,50,1,50,8.020996892960943,0.9337710654150282,0.0,7.761266939835053,8.275338885788653,0.13230955178807793,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,p95_delay_slots,50,1,50,17.127,2.613587143200324,0.0,16.419974999999994,17.827025,0.3639573148938935,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,mean_queue_packets,50,1,50,2.285111111111111,0.26565482636776383,0.0,2.2098270833333338,2.357863194444444,0.03761916852078471,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,routing_switches,50,1,50,107.62,20.988714168547332,0.0,101.98,113.5,2.9267742408821724,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,episode_reward,50,1,50,-14.86717201297333,3.130075382940804,0.0,-15.733477445538684,-14.02838453460609,0.4385916804438872,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_delay_cost,50,1,50,0.28959894750686815,0.034657449818479534,0.0,0.280187276531807,0.2989705246970496,0.004847499001085734,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_queue_cost,50,1,50,0.05302407407407407,0.006260859879388254,0.0,0.051223410493827164,0.05468956790123457,0.0008819884431414259,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_load_imbalance,50,1,50,0.6368237750911455,0.02841352904467298,0.0,0.6292669706543152,0.6446707421682937,0.0039749790621883985,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_switch_cost,50,1,50,0.18142334854762499,0.03144619976231293,0.0,0.17256276426406708,0.19027131720437396,0.00447689614781022,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_throughput_reward,50,1,50,0.07759810628130388,0.020206431941788547,0.0,0.07226401504225884,0.08330526794770679,0.0028006446185110303,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,full_heuristic,global_control_overhead_ratio,50,1,50,0.04796702901802361,0.00401265545154731,0.0,0.0469235914755109,0.04914731645140384,0.0005735225546844151,crossed_pigeonhole_bootstrap_percentile,5000,0.95
